Final SCORE : 16
         99824893 function calls (98455940 primitive calls) in 137.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    44/22    0.000    0.000    0.001    0.000 pickle.py:532(save_tuple)
       29    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      666    0.000    0.000    0.000    0.000 version.py:362(<lambda>)
      142    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
      207    0.000    0.000    0.000    0.000 artist.py:165(convert_yunits)
       11    0.000    0.000    0.014    0.001 artist.py:1322(kwdoc)
       13    0.000    0.000    0.000    0.000 re.py:284(_subx)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:3(<module>)
        1    0.000    0.000    0.000    0.000 text.py:1419(_AnnotationBase)
      208    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
        1    0.000    0.000    0.000    0.000 patches.py:1792(BoxStyle)
       24    0.000    0.000    0.000    0.000 pyparsing.py:1573(__init__)
        1    0.000    0.000    0.013    0.013 type_check.py:3(<module>)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
       20    0.000    0.000    0.002    0.000 axis.py:513(_get_text2)
       24    0.000    0.000    0.001    0.000 backend_agg.py:123(draw_markers)
       23    0.000    0.000    0.002    0.000 cbook.py:395(__call__)
       10    0.000    0.000    0.003    0.000 Tkinter.py:3301(__init__)
        7    0.000    0.000    0.001    0.000 pyparsing.py:1695(__init__)
      423    0.000    0.000    0.000    0.000 {method 'itervalues' of 'dict' objects}
      142    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
      136    0.000    0.000    0.000    0.000 pyparsing.py:938(preParse)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tzwin.py:2(<module>)
       20    0.000    0.000    0.001    0.000 _base.py:572(get_xaxis_text1_transform)
      101    0.000    0.000    0.001    0.000 transforms.py:1574(transform)
      173    0.000    0.000    0.000    0.000 lines.py:1034(set_xdata)
     30/4    0.000    0.000    0.000    0.000 pyparsing.py:2292(streamline)
        1    0.000    0.000    0.000    0.000 api.py:1(<module>)
       36    0.000    0.000    0.000    0.000 backend_agg.py:53(get_hinting_flag)
       31    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       49    0.000    0.000    0.001    0.000 transforms.py:1626(frozen)
       11    0.000    0.000    0.000    0.000 cbook.py:495(connect)
       18    0.000    0.000    0.053    0.003 font_manager.py:163(list_fonts)
      147    0.000    0.000    0.000    0.000 inspect.py:472(getmodule)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Tetris.py:51(findRange)
      121    0.000    0.000    0.006    0.000 lines.py:452(set_fillstyle)
       48    0.000    0.000    0.000    0.000 lines.py:1154(_get_rgba_face)
       23    0.000    0.000    0.001    0.000 backend_bases.py:2746(_set_cursor)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 FileDialog.py:9(<module>)
      155    0.000    0.000    0.000    0.000 colors.py:353(<genexpr>)
       29    0.000    0.000    0.000    0.000 figure.py:73(as_list)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       32    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       13    0.000    0.000    0.000    0.000 posixpath.py:380(_joinrealpath)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       86    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       17    0.000    0.000    0.000    0.000 _base.py:2963(format_coord)
      130    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       32    0.000    0.000    0.000    0.000 Tkinter.py:1040(_bind)
       48    0.000    0.000    0.000    0.000 lines.py:808(_get_markerfacecolor)
       34    0.000    0.000    0.000    0.000 pyparsing.py:2351(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
    20/16    0.000    0.000    0.023    0.001 axis.py:1657(_get_tick)
    16/12    0.000    0.000    0.031    0.003 axis.py:760(reset_ticks)
       98    0.000    0.000    0.000    0.000 font_manager.py:1068(get_default_size)
        1    0.000    0.000    0.000    0.000 message.py:92(Message)
       49    0.000    0.000    0.000    0.000 linalg.py:209(_assertNdSquareness)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2607(__init__)
        7    0.000    0.000    0.008    0.001 backend_tkagg.py:712(_Button)
       23    0.000    0.000    0.012    0.001 _base.py:1711(in_axes)
       52    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       16    0.000    0.000    0.004    0.000 pyparsing.py:1812(__init__)
      344    0.000    0.000    0.000    0.000 markers.py:267(_set_nothing)
       49    0.000    0.000    0.000    0.000 linalg.py:106(_makearray)
       86    0.000    0.000    0.000    0.000 artist.py:788(set_zorder)
       28    0.000    0.000    0.001    0.000 transforms.py:1365(transform_path_non_affine)
       14    0.000    0.000    0.017    0.001 axis.py:897(iter_ticks)
       70    0.000    0.000    0.000    0.000 artist.py:48(after)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:237(Figure)
      137    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:358(extend_all)
        2    0.000    0.000    0.000    0.000 six.py:689(exec_)
       23    0.000    0.000    0.001    0.000 backend_tkagg.py:688(set_message)
        1    0.000    0.000    0.000    0.000 streamplot.py:4(<module>)
        5    0.000    0.000    0.000    0.000 ssl.py:114(_import_symbols)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.000    0.000 random.py:655(WichmannHill)
      121    0.000    0.000    0.007    0.000 lines.py:969(set_marker)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
      252    0.000    0.000    0.000    0.000 six.py:88(__init__)
       93    0.000    0.000    0.000    0.000 {any}
       10    0.000    0.000    0.004    0.000 axis.py:1258(_copy_tick_props)
    61/58    0.000    0.000    0.000    0.000 pyparsing.py:109(_ustr)
        7    0.000    0.000    0.003    0.000 backend_agg.py:140(draw_path)
        1    0.000    0.000    0.000    0.000 transforms.py:1694(Affine2D)
      194    0.000    0.000    0.000    0.000 __init__.py:2036(__init__)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
        4    0.000    0.000    0.000    0.000 spines.py:185(_adjust_location)
       20    0.000    0.000    0.001    0.000 _base.py:649(get_yaxis_text1_transform)
      234    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       35    0.000    0.000    0.000    0.000 transforms.py:1071(get_points)
        1    0.000    0.000    0.070    0.070 backend_tkagg.py:261(resize)
       24    0.000    0.000    0.000    0.000 text.py:46(get_rotation)
       49    0.000    0.000    0.000    0.000 linalg.py:101(get_linalg_error_extobj)
       98    0.000    0.000    0.000    0.000 {method 'partition' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 unicode_escape.py:8(<module>)
      208    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       67    0.000    0.000    0.000    0.000 artist.py:663(_set_gc_clip)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       10    0.000    0.000    0.007    0.001 Tkinter.py:2078(__init__)
       24    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 _structures.py:14(<module>)
       24    0.000    0.000    0.000    0.000 text.py:971(is_math_text)
    24/12    0.000    0.000    0.001    0.000 pyparsing.py:2478(parseImpl)
       18    0.000    0.000    0.000    0.000 core.py:938(__init__)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       67    0.000    0.000    0.000    0.000 backend_bases.py:687(new_gc)
      136    0.000    0.000    0.000    0.000 __init__.py:726(__iter__)
        5    0.000    0.000    0.000    0.000 transforms.py:717(union)
      305    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
       30    0.000    0.000    0.000    0.000 {posix.access}
      454    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
      121    0.000    0.000    0.000    0.000 lines.py:1238(set_dash_joinstyle)
       20    0.000    0.000    0.001    0.000 _base.py:598(get_xaxis_text2_transform)
       19    0.000    0.000    0.000    0.000 nosetester.py:179(__init__)
       48    0.000    0.000    0.000    0.000 rcsetup.py:269(validate_stringlist)
        1    0.000    0.000    0.036    0.036 _base.py:328(__init__)
      136    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       48    0.000    0.000    0.000    0.000 backend_agg.py:291(points_to_pixels)
       17    0.000    0.000    0.000    0.000 _base.py:2950(format_ydata)
      135    0.000    0.000    0.003    0.000 __init__.py:3166(<lambda>)
       49    0.000    0.000    0.000    0.000 linalg.py:198(_assertRankAtLeast2)
       12    0.000    0.000    0.000    0.000 ticker.py:601(pprint_val)
       60    0.000    0.000    0.000    0.000 Tkinter.py:1899(__getattr__)
  176/128    0.000    0.000    0.007    0.000 spines.py:142(_ensure_position_is_set)
       20    0.000    0.000    0.000    0.000 text.py:275(update_from)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1867(readprofile)
        2    0.000    0.000    0.042    0.021 axis.py:1106(draw)
      321    0.000    0.000    0.000    0.000 {method 'iterkeys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       65    0.000    0.000    0.001    0.000 pyparsing.py:830(copy)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
       34    0.000    0.000    0.000    0.000 Tkinter.py:109(_cnfmerge)
       52    0.000    0.000    0.000    0.000 transforms.py:2064(get_affine)
       85    0.000    0.000    0.000    0.000 font_manager.py:829(set_style)
        1    0.000    0.000    0.000    0.000 patches.py:2269(FancyBboxPatch)
      100    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        2    0.000    0.000    0.000    0.000 ticker.py:572(_set_format)
       25    0.000    0.000    0.001    0.000 lines.py:620(_transform_path)
       25    0.000    0.000    0.000    0.000 markers.py:197(__nonzero__)
       22    0.000    0.000    0.000    0.000 transforms.py:1051(__init__)
      135    0.000    0.000    0.000    0.000 __init__.py:956(_added_new)
        1    0.000    0.000    0.000    0.000 patches.py:2484(ConnectionStyle)
        1    0.000    0.000    0.023    0.023 _base.py:816(cla)
       20    0.000    0.000    0.001    0.000 _base.py:675(get_yaxis_text2_transform)
        1    0.000    0.000    0.000    0.000 blocking_input.py:23(<module>)
        1    0.000    0.000    0.000    0.000 rfc822.py:501(AddrlistClass)
       36    0.000    0.000    0.000    0.000 {method 'set_size' of 'FT2Font' objects}
       32    0.000    0.000    0.000    0.000 {fcntl.fcntl}
       24    0.000    0.000    0.000    0.000 transforms.py:2662(interval_contains)
      121    0.000    0.000    0.000    0.000 lines.py:1285(set_solid_capstyle)
       14    0.000    0.000    0.000    0.000 cbook.py:1289(__setitem__)
       31    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        2    0.000    0.000    0.005    0.003 subprocess.py:650(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:948(subscribe)
        1    0.000    0.000    0.008    0.008 backend_tkagg.py:721(_init_toolbar)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.001    0.001 _axes.py:52(Axes)
      221    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       28    0.000    0.000    0.000    0.000 figure.py:390(_get_axes)
       29    0.000    0.000    0.000    0.000 re.py:208(escape)
       38    0.000    0.000    0.000    0.000 numeric.py:1396(rollaxis)
       16    0.000    0.000    0.000    0.000 ticker.py:390(__init__)
       42    0.000    0.000    0.000    0.000 {built-in method createcommand}
       49    0.000    0.000    0.000    0.000 linalg.py:124(_realType)
        6    0.000    0.000    0.000    0.000 function_base.py:9(linspace)
       87    0.000    0.000    0.000    0.000 text.py:765(set_color)
       52    0.000    0.000    0.000    0.000 transforms.py:2033(transform_non_affine)
       67    0.000    0.000    0.001    0.000 backend_bases.py:909(set_alpha)
      142    0.000    0.000    0.000    0.000 afm.py:501(get_fontname)
        1    0.000    0.000    0.000    0.000 _base.py:1899(autoscale_view)
       23    0.000    0.000    0.000    0.000 core.py:6267(getdoc)
        2    0.000    0.000    0.016    0.008 axis.py:1294(get_major_ticks)
        1    0.000    0.000    0.006    0.006 platform.py:10(<module>)
    20/16    0.000    0.000    0.019    0.001 axis.py:1959(_get_tick)
       19    0.000    0.000    0.000    0.000 rcsetup.py:42(__init__)
        6    0.000    0.000    0.000    0.000 patches.py:67(__init__)
       65    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      674    0.000    0.000    0.000    0.000 {sys.getfilesystemencoding}
       31    0.000    0.000    0.000    0.000 artist.py:444(get_snap)
        1    0.000    0.000    0.000    0.000 gridspec.py:15(<module>)
       87    0.000    0.000    0.000    0.000 transforms.py:1003(get_points)
        6    0.000    0.000    0.004    0.001 __init__.py:1057(rc_params_from_file)
        2    0.000    0.000    0.010    0.005 axis.py:1054(_get_tick_bboxes)
      9/1    0.000    0.000    0.002    0.002 pickle.py:690(save_inst)
       44    0.000    0.000    0.008    0.000 patches.py:625(get_patch_transform)
      117    0.000    0.000    0.000    0.000 re.py:138(match)
       86    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Tetris.py:1(<module>)
       40    0.000    0.000    0.000    0.000 core.py:105(get_object_signature)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1538(Token)
       12    0.000    0.000    0.003    0.000 six.py:91(__get__)
      173    0.000    0.000    0.000    0.000 lines.py:1043(set_ydata)
       17    0.000    0.000    0.000    0.000 pyparsing.py:1859(__str__)
        1    0.000    0.000    0.000    0.000 ffiplatform.py:1(<module>)
     14/9    0.000    0.000    0.000    0.000 units.py:125(get_converter)
       24    0.000    0.000    0.000    0.000 cbook.py:2158(is_math_text)
       54    0.000    0.000    0.001    0.000 pyplot.py:2409(<lambda>)
       85    0.000    0.000    0.000    0.000 font_manager.py:841(set_variant)
       96    0.000    0.000    0.000    0.000 axis.py:694(get_scale)
       23    0.000    0.000    0.000    0.000 backend_bases.py:1438(_update_enter_leave)
       10    0.000    0.000    0.000    0.000 Tkinter.py:2053(_setup)
        8    0.000    0.000    0.000    0.000 {posix.fdopen}
      114    0.000    0.000    0.000    0.000 pickle.py:250(put)
       23    0.000    0.000    0.000    0.000 figure.py:1095(get_axes)
       11    0.000    0.000    0.004    0.000 artist.py:883(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3362(PhotoImage)
       10    0.000    0.000    0.000    0.000 posixpath.py:251(expanduser)
        1    0.000    0.000    0.000    0.000 mathtext.py:2042(Parser)
      135    0.000    0.000    0.000    0.000 stat.py:55(S_ISLNK)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       18    0.000    0.000    0.000    0.000 textwrap.py:374(dedent)
       36    0.000    0.000    0.000    0.000 {method 'clear' of 'FT2Font' objects}
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
       24    0.000    0.000    0.001    0.000 pyparsing.py:2729(parseImpl)
        1    0.000    0.000    0.000    0.000 figure.py:260(__init__)
       24    0.000    0.000    0.001    0.000 Tkinter.py:269(set)
       18    0.000    0.000    0.000    0.000 cbook.py:53(_generate_deprecation_message)
        4    0.000    0.000    0.001    0.000 tempfile.py:135(next)
        8    0.000    0.000    0.000    0.000 {sorted}
        1    0.000    0.000    0.000    0.000 cbook.py:512(disconnect)
      189    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        6    0.000    0.000    0.001    0.000 warnings.py:49(filterwarnings)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
       41    0.000    0.000    0.002    0.000 lines.py:865(get_path)
    14/10    0.000    0.000    0.001    0.000 __init__.py:324(wrapper)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
       25    0.000    0.000    0.000    0.000 artist.py:33(allow_rasterization)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
      270    0.000    0.000    0.000    0.000 {numpy.core.multiarray.add_docstring}
        6    0.000    0.000    0.000    0.000 fnmatch.py:85(translate)
       26    0.000    0.000    0.001    0.000 pyparsing.py:2814(parseImpl)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
       11    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
      200    0.000    0.000    0.000    0.000 colors.py:363(<genexpr>)
       98    0.000    0.000    0.000    0.000 linalg.py:111(isComplexType)
       48    0.000    0.000    0.000    0.000 pyparsing.py:776(wrapper)
        4    0.000    0.000    0.001    0.000 tempfile.py:230(_mkstemp_inner)
        3    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
      121    0.000    0.000    0.000    0.000 lines.py:994(set_markeredgewidth)
        1    0.000    0.000    2.138    2.138 backend_bases.py:140(__call__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
      121    0.000    0.000    0.000    0.000 lines.py:1249(set_solid_joinstyle)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       16    0.000    0.000    0.000    0.000 ticker.py:1257(__init__)
       77    0.000    0.000    0.000    0.000 collections.py:363(<genexpr>)
       17    0.000    0.000    0.000    0.000 __init__.py:22(find_module)
        4    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
        8    0.000    0.000    0.000    0.000 transforms.py:2617(nonsingular)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
       16    0.000    0.000    0.000    0.000 transforms.py:365(_get_intervalx)
       28    0.000    0.000    0.001    0.000 __init__.py:2067(find_distributions)
        1    0.000    0.000    0.001    0.001 pyparsing.py:3442(_makeTags)
      115    0.000    0.000    0.000    0.000 font_manager.py:719(get_family)
       73    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       34    0.000    0.000    0.000    0.000 pyparsing.py:1226(__add__)
        1    0.000    0.000    0.006    0.006 backend_tkagg.py:218(__init__)
        1    0.000    0.000    0.000    0.000 relativedelta.py:6(<module>)
        1    0.000    0.000    0.128    0.128 backend_tkagg.py:84(new_figure_manager_given_figure)
       24    0.000    0.000    0.000    0.000 {method 'get_width_height' of 'FT2Font' objects}
       28    0.000    0.000    0.000    0.000 pkgutil.py:366(get_importer)
      121    0.000    0.000    0.000    0.000 lines.py:1004(set_markerfacecolor)
       34    0.000    0.000    0.001    0.000 pickle.py:480(save_string)
        5    0.000    0.000    0.026    0.005 __init__.py:34(load_module)
       12    0.000    0.000    0.000    0.000 __init__.py:976(_open_file_or_url)
       55    0.000    0.000    0.000    0.000 docstring.py:88(__call__)
      121    0.000    0.000    0.000    0.000 lines.py:882(set_antialiased)
       86    0.000    0.000    0.000    0.000 transforms.py:1533(_get_is_affine)
        4    0.000    0.000    0.000    0.000 {posix.unlink}
        1    0.000    0.000    0.000    0.000 core.py:2659(MaskedArray)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
       24    0.000    0.000    0.000    0.000 markers.py:255(get_transform)
        4    0.000    0.000    0.001    0.000 __init__.py:220(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mac_roman.py:3(<module>)
      9/1    0.000    0.000    0.002    0.002 pickle.py:655(_batch_setitems)
        8    0.000    0.000    0.007    0.001 spines.py:349(set_position)
       41    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
        1    0.000    0.000    0.000    0.000 _base.py:317(_AxesBase)
        4    0.000    0.000    0.001    0.000 __init__.py:580(_get_config_or_cache_dir)
       56    0.000    0.000    0.000    0.000 pyparsing.py:1592(parseImpl)
        1    0.000    0.000    0.000    0.000 socket.py:183(_socketobject)
       20    0.000    0.000    0.000    0.000 axis.py:339(apply_tickdir)
        1    0.000    0.000    0.008    0.008 backend_tkagg.py:526(__init__)
        1    0.000    0.000    0.000    0.000 locals.py:24(<module>)
        4    0.000    0.000    0.000    0.000 spines.py:43(__init__)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       14    0.000    0.000    0.003    0.000 pyparsing.py:1084(parseString)
       27    0.000    0.000    0.000    0.000 core.py:860(__init__)
        2    0.000    0.000    0.000    0.000 ticker.py:525(_set_offset)
       47    0.000    0.000    0.000    0.000 docstring.py:48(update)
       54    0.000    0.000    0.000    0.000 pyplot.py:2404(_autogen_docstring)
      201    0.000    0.000    0.000    0.000 __init__.py:835(<genexpr>)
       65    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:610(_ReducedHCT_Element)
        4    0.000    0.000    0.001    0.000 ticker.py:1225(scale_range)
        6    0.000    0.000    0.000    0.000 numeric.py:2478(seterr)
        1    0.000    0.000    0.000    0.000 trirefine.py:3(<module>)
       61    0.000    0.000    0.000    0.000 pickle.py:437(save_int)
        1    0.000    0.000    0.066    0.066 backend_tkagg.py:348(draw)
        1    0.000    0.000    0.000    0.000 __init__.py:826(RcParams)
        8    0.000    0.000    0.000    0.000 {posix.close}
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:74(__init__)
       78    0.000    0.000    0.000    0.000 rcsetup.py:103(validate_float)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1749(parseImpl)
       29    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.011    0.011 backend_tkagg.py:684(destroy)
        1    0.000    0.000    0.000    0.000 path.py:13(<module>)
       24    0.000    0.000    0.000    0.000 random.py:273(choice)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
      142    0.000    0.000    0.000    0.000 afm.py:523(get_weight)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        2    0.000    0.000    0.000    0.000 ticker.py:514(set_locs)
       77    0.000    0.000    0.000    0.000 collections.py:361(<genexpr>)
       24    0.000    0.000    0.001    0.000 transforms.py:2586(get_transformed_points_and_affine)
        1    0.000    0.000    0.016    0.016 Tkinter.py:1858(destroy)
        1    0.000    0.000    0.000    0.000 symbol.py:3(<module>)
        1    0.000    0.000    0.000    0.000 markers.py:78(<module>)
       12    0.000    0.000    0.002    0.000 fontconfig_pattern.py:122(parse)
      142    0.000    0.000    0.000    0.000 afm.py:527(get_angle)
       98    0.000    0.000    0.000    0.000 codecs.py:241(__init__)
      147    0.000    0.000    0.000    0.000 inspect.py:51(ismodule)
       34    0.000    0.000    0.000    0.000 axis.py:1286(get_major_formatter)
       24    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 six.py:126(__init__)
        6    0.000    0.000    0.000    0.000 version.py:268(parse)
       54    0.000    0.000    0.000    0.000 pyparsing.py:1540(__init__)
       52    0.000    0.000    0.000    0.000 font_manager.py:1122(score_style)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        9    0.000    0.000    0.000    0.000 Tkinter.py:3326(__del__)
       20    0.000    0.000    0.000    0.000 axis.py:481(apply_tickdir)
      173    0.000    0.000    0.000    0.000 path.py:207(vertices)
       10    0.000    0.000    0.003    0.000 Tkinter.py:3364(__init__)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:3(<module>)
      543    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.002    0.002 _pylab_helpers.py:49(destroy)
      121    0.000    0.000    0.000    0.000 lines.py:461(set_markevery)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
        2    0.000    0.000    0.017    0.009 subprocess.py:1400(_communicate)
        1    0.000    0.000    0.000    0.000 collections.py:33(Collection)
       48    0.000    0.000    0.000    0.000 {method 'count' of 'unicode' objects}
        1    0.000    0.000    0.050    0.050 backend_agg.py:458(draw)
       25    0.000    0.000    0.000    0.000 lines.py:1162(_get_rgba_ln_color)
        4    0.000    0.000    0.000    0.000 _methods.py:53(_mean)
       40    0.000    0.000    0.000    0.000 artist.py:706(set_alpha)
       72    0.000    0.000    0.000    0.000 pyparsing.py:171(__init__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:486(__iadd__)
        1    0.000    0.000    0.000    0.000 trifinder.py:1(<module>)
       98    0.000    0.000    0.000    0.000 __init__.py:1999(__init__)
        7    0.000    0.000    0.000    0.000 parser.py:222(_convert)
      115    0.000    0.000    0.000    0.000 font_manager.py:737(get_style)
       60    0.000    0.000    0.000    0.000 _methods.py:28(_amin)
       80    0.000    0.000    0.000    0.000 docstring.py:102(do_copy)
        9    0.000    0.000    0.000    0.000 __init__.py:504(_get_home)
      121    0.000    0.000    0.000    0.000 lines.py:1015(set_markerfacecoloralt)
        1    0.000    0.000    0.000    0.000 _compat.py:30(with_metaclass)
        8    0.000    0.000    0.000    0.000 spines.py:275(_calc_offset_transform)
        2    0.000    0.000    0.005    0.003 Tkinter.py:2298(_create)
        2    0.000    0.000    0.001    0.001 random.py:100(seed)
       20    0.000    0.000    0.000    0.000 transforms.py:805(unit)
      191    0.000    0.000    0.000    0.000 transforms.py:1600(get_affine)
       45    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
      140    0.000    0.000    0.000    0.000 artist.py:673(get_rasterized)
       55    0.000    0.000    0.000    0.000 backend_bases.py:936(set_capstyle)
       14    0.000    0.000    0.000    0.000 ticker.py:434(fix_minus)
       32    0.000    0.000    0.000    0.000 functools.py:39(wraps)
     15/9    0.000    0.000    0.001    0.000 pyparsing.py:2334(copy)
    12/11    0.000    0.000    0.001    0.000 pickle.py:345(save_reduce)
       16    0.000    0.000    0.009    0.001 main.py:173(draw)
        6    0.000    0.000    0.000    0.000 axis.py:463(get_view_interval)
       65    0.000    0.000    0.000    0.000 _methods.py:25(_amax)
        2    0.000    0.000    0.000    0.000 sre_parse.py:734(parse_template)
      556    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       24    0.000    0.000    0.000    0.000 transforms.py:2535(get_matrix)
      8/4    0.000    0.000    0.000    0.000 pyparsing.py:2261(leaveWhitespace)
        3    0.000    0.000    0.000    0.000 backend_tkagg.py:809(update)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       24    0.000    0.000    0.000    0.000 text.py:254(get_rotation)
        3    0.000    0.000    0.000    0.000 decimal.py:3783(__init__)
      140    0.000    0.000    0.000    0.000 artist.py:690(get_agg_filter)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        6    0.000    0.000    0.000    0.000 transforms.py:2091(__init__)
       32    0.000    0.000    0.000    0.000 Tkinter.py:1057(bind)
       16    0.000    0.000    0.000    0.000 ticker.py:1697(__init__)
      112    0.000    0.000    0.000    0.000 copy_reg.py:46(_reconstructor)
        7    0.000    0.000    0.001    0.000 rcsetup.py:260(validate_colorlist)
       36    0.000    0.000    0.000    0.000 {method 'get_descent' of 'FT2Font' objects}
       17    0.000    0.000    0.000    0.000 abc.py:105(register)
       52    0.000    0.000    0.000    0.000 pyparsing.py:318(__getitem__)
       55    0.000    0.000    0.000    0.000 transforms.py:1557(__array__)
