Final SCORE : 16
         99824893 function calls (98455940 primitive calls) in 137.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.030    0.015    0.596    0.298 font_manager.py:544(createFontList)
    46678    0.022    0.000    0.022    0.000 {method 'decode' of 'str' objects}
   156562    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
       12    0.017    0.001    0.017    0.001 {built-in method poll}
    49181    0.016    0.000    0.016    0.000 afm.py:56(_to_int)
   149333    0.013    0.000    0.013    0.000 {method 'rstrip' of 'str' objects}
  627/145    0.012    0.000    0.034    0.000 sre_parse.py:395(_parse)
     5571    0.012    0.000    0.012    0.000 {posix.stat}
        1    0.012    0.012    0.012    0.012 {pygame.base.init}
        1    0.010    0.010    0.040    0.040 __init__.py:25(<module>)
        1    0.010    0.010    0.022    0.022 _axes.py:1(<module>)
     2508    0.010    0.000    0.014    0.000 posixpath.py:329(normpath)
     2301    0.009    0.000   60.253    0.026 main.py:167(chooseNext)
    10733    0.008    0.000    0.010    0.000 sre_parse.py:193(__next)
    27614    0.008    0.000    0.008    0.000 {abs}
      260    0.007    0.000    0.007    0.000 {method 'get_sfnt' of 'FT2Font' objects}
        1    0.007    0.007    0.113    0.113 {pygame.display.set_mode}
 1196/130    0.007    0.000    0.015    0.000 sre_compile.py:64(_compile)
       35    0.006    0.000    0.010    0.000 afm.py:255(_parse_composites)
     5294    0.006    0.000    0.012    0.000 fnmatch.py:24(fnmatch)
     2301    0.006    0.000    0.024    0.000 fromnumeric.py:1737(sum)
     2301    0.006    0.000    0.014    0.000 Net.py:39(sigmoidPrime)
       13    0.005    0.000    0.062    0.005 __init__.py:1(<module>)
      542    0.005    0.000    0.013    0.000 version.py:208(__init__)
       15    0.005    0.000    0.006    0.000 collections.py:293(namedtuple)
      142    0.005    0.000    0.008    0.000 afm.py:105(_parse_header)
     5098    0.005    0.000    0.007    0.000 posixpath.py:61(join)
       16    0.004    0.000    0.004    0.000 {method 'fill' of 'pygame.Surface' objects}
     4602    0.004    0.000    0.007    0.000 main.py:51(getActions)
       18    0.004    0.000    0.053    0.003 cbook.py:1158(listFiles)
     1623    0.004    0.000    0.005    0.000 weakref.py:47(__init__)
        2    0.004    0.002    0.107    0.054 __init__.py:15(<module>)
      117    0.004    0.000    0.005    0.000 {posix.listdir}
     9534    0.003    0.000    0.012    0.000 sre_parse.py:212(get)
       12    0.003    0.000    0.003    0.000 {posix.read}
